__Reshma_khan,2018-05-13 13:15:18,b'RT @Roy_Reaper_: \\u092e\\u094b\\u0926\\u0940 \\u092d\\u0917\\u0935\\u093e\\u0928 \\u0930\\u093e\\u092e \\u0915\\u093e \\u092a\\u0941\\u0928\\u0930\\u094d\\u091c\\u0928\\u094d\\u092e \\u0939\\u0948\\u0902.-\\u092d\\u093e\\u091c\\u092a\\u093e \\u0928\\u0947\\u0924\\u093e\\n\\n\\u0924\\u094d\\u0930\\u0947\\u0924\\u093e \\u092f\\u0941\\u0917 \\u0915\\u0940 \\u0938\\u094d\\u092e\\u0943\\u0924\\u093f \\u0908\\u0930\\u093e\\u0928\\u0940 \\u092e\\u093e\\u0928\\u0938\\u0940 \\u0935\\u0917\\u0948\\u0930\\u0939 \\u0915\\u094c\\u0928 \\u0925\\u0940 \\u092f\\u0947 \\u092d\\u0940 \\u092c\\u0924\\u093e \\u0926\\u094b @narendramodi'
KumarN69515955,2018-05-13 13:15:19,b'RT @sdubey1988: #WarAgainstDowry Sant Rampal Ji Ne Kiya Jisse Desh Ka Nirmad Hoga Aur Beti Padhegi Badhegi Sabhi Khushaal Honge\\n@PMOIndia\\n@\\u2026'
Thakursanjeevs8,2018-05-13 13:15:21,b'RT @RAJESHG57677787: \\u090f\\u0915 \\u0938\\u091a\\u2022\\u2022\\u2022\\u2022\\u2022\\u2022\\u2022\\u2022\\u2022\\u2022\\u2712\\u2712\\u2712\\u2712\\u2712\\n\\u090f\\u0915 \\u092e\\u093e\\u0938\\u0942\\u092e \\u0938\\u0947 \\u092c\\u091a\\u094d\\u091a\\u0947 \\u0928\\u0947 \\u0905\\u092a\\u0928\\u0940 \\u0926\\u093f\\u0935\\u0902\\u0917\\u0924 \\u092e\\u093e\\u0901 \\u0915\\u0940 \\u092b\\u094b\\u091f\\u094b \\u0915\\u094b \\u0926\\u0947\\u0916\\u0915\\u0930 \\u092a\\u0942\\u091b\\u093e!\\u092e\\u093e\\u0902 \\u0906\\u092a \\u092e\\u0941\\u091d\\u0947 \\u091b\\u094b\\u0921\\u093c\\u0915\\u0930 \\u0915\\u094d\\u092f\\u094b \\u091a\\u0932\\u0940 \\u0917\\u092f\\u0940\\u0902?\\n\\U0001f446\\u092c\\u091a\\u094d\\u2026'
inehajj,2018-05-13 13:15:22,b'RT @AshwiniBJP: \\u0938\\u0935\\u093e\\u0932 \\u092f\\u0939 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u0948 \\u0915\\u093f\\n#ChidambaramKiBlackMoney @RahulGandhi \\u091c\\u0940 \\u0915\\u094b \\u0915\\u092c\\u0942\\u0932 \\u0939\\u0948 \\u0915\\u093f \\u0928\\u0939\\u0940\\u0902! \\u092c\\u093e\\u0924 \\u092f\\u0939 \\u0939\\u0948 \\u0915\\u093f \\u0915\\u093e\\u0928\\u0942\\u0928 \\u0915\\u0947 \\u0939\\u093f\\u0938\\u093e\\u092c \\u0938\\u0947 \\u0907\\u0928\\u094d\\u0939\\u0947\\u0902 \\u092e\\u093e\\u0924\\u094d\\u0930\\u2026'
maheep04,2018-05-13 13:15:22,"b'RT @DeepakM1701: \\u091c\\u0928\\u0927\\u0928, \\u0905\\u091f\\u0932 \\u092a\\u0947\\u0902\\u0936\\u0928, \\u0938\\u0942\\u0915\\u094d\\u0937\\u094d\\u092e \\u092c\\u0940\\u092e\\u093e \\u092f\\u094b\\u091c\\u0928\\u093e, \\u092e\\u0941\\u0926\\u094d\\u0930\\u093e \\u092f\\u094b\\u091c\\u0928\\u093e, \\u0928\\u094b\\u091f\\u092c\\u0902\\u0926\\u0940 \\u0914\\u0930 \\u092a\\u0924\\u093e \\u0928\\u0939\\u0940\\u0902 \\u0915\\u094d\\u092f\\u093e \\u0915\\u094d\\u092f\\u093e\\n\\u0907\\u0928 \\u0938\\u092c \\u0915\\u0947 \\u092c\\u0926\\u0932\\u0947 2 \\u092a\\u094d\\u0930\\u0924\\u093f\\u0936\\u0924 \\u0915\\u0940 \\u092d\\u0940\\u0916?\\n\\u0915\\u0939\\u093e\\u0901 \\u0915\\u093e\\u2026'"
parzaneh,2018-05-13 13:15:23,b'@shuchi_sun @EmmetBats @Ali_Madeeh @bukharishujaat @narendramodi Liar liar PANTS ON FIRE... #MahabharatianCulture o\\u2026 https://t.co/HVA1to4Qbe'
ajaykumar_skm,2018-05-13 13:15:22,b'RT @AjayKushwaha_: \\u092e\\u093e\\u0901 \\u0915\\u0947 \\u091a\\u0930\\u0923\\u094b \\u092e\\u0947 \\u0907\\u0924\\u0928\\u093e \\u091c\\u093e\\u0926\\u0942 \\u0939\\u0948 \\u0915\\u093f \\u091c\\u093f\\u0924\\u0928\\u093e \\u0939\\u0940 \\u092e\\u093e\\u0901 \\u0915\\u0947 \\u091a\\u0930\\u0923\\u094b\\u0902 \\u092e\\u0947 \\u091d\\u0941\\u0915\\u0924\\u093e \\u0939\\u0942\\u0901 \\u0909\\u0924\\u0928\\u093e \\u0939\\u0940 \\u0906\\u0917\\u0947 \\u091c\\u093e\\u0924\\u093e \\u0939\\u0942\\u0901:PM \\u0936\\u094d\\u0930\\u0940 @narendramodi \\u091c\\u0940\\n\\u0906\\u092a \\u0927\\u0928\\u094d\\u092f\\u2026'
ajaybhagour,2018-05-13 13:15:23,"b'RT @DINKARGUPTA8: @sifchandigarh @PunjabPolice @SSP_SASNagar @capt_amarinder Police \\u0915\\u094b \\u0924\\u094b \\u092a\\u0941\\u0930\\u0941\\u0937\\u094b\\u0902 \\u092a\\u0930 \\u0905\\u0924\\u094d\\u092f\\u093e\\u091a\\u093e\\u0930 \\u0915\\u093e \\u092e\\u094c\\u0915\\u093e \\u091a\\u093e\\u0939\\u093f\\u090f, \\u0907\\u0938\\u0915\\u0947 \\u0932\\u093f\\u090f \\u091a\\u093e\\u0939\\u0947\\u2026'"
RudraGopal48000,2018-05-13 13:15:23,b'RT @RudraGopal48000: @ravishndtv\\n\\u0924\\u0947\\u0930\\u0940 \\u0914\\u0915\\u093e\\u0924 \\u0915\\u0947 \\u0905\\u0928\\u0941\\u0938\\u093e\\u0930 \\u091c\\u0917\\u0939 \\u0926\\u093f\\u0916\\u093e\\u0924\\u0947 \\u0939\\u0941\\u090f @RahulGandhi\\n\\u0914\\u0930 \\u0924\\u0941 \\u0916\\u0941\\u0926 \\u0915\\u0940 PM @narendramodi \\u0938\\u0947  \\u0924\\u0941\\u0932\\u0928\\u093e \\u0915\\u0930\\u0924\\u093e \\u0939\\u0948\\n\\u092d\\u093e\\u091c\\u092a\\u093e \\u0935\\u093f\\u0930\\u094b\\u2026'
Thakursanjeevs8,2018-05-13 13:15:24,b'RT @JagatPa49723058: \\u0918\\u092e\\u0902\\u0921 \\u0924\\u094b #\\u0938\\u0930\\u0915\\u093e\\u0930 \\u0906\\u092a\\u0915\\u094b \\u092c\\u0939\\u0941\\u0924 \\u0906 \\u0917\\u092f\\u093e \\u0935\\u094b \\u0926\\u093f\\u0928 \\u0906\\u092a \\u092d\\u0940 \\u092d\\u0942\\u0932 \\u0917\\u092f\\u0947 \\u091c\\u092c \\u092a\\u0942\\u0930\\u0947 \\u092d\\u093e\\u0930\\u0924 \\u092e\\u0948 \\u090f\\u0915 \\u0938\\u0940\\u091f \\u091c\\u0940\\u0924\\u0928\\u0947 \\u0915\\u0940 \\u0930\\u093e\\u0939 \\u0926\\u0947\\u0916\\u0924\\u0947 \\u0925\\u0947 \\u0906\\u091c \\u0906\\u092a #\\u0938\\u0924\\u094d\\u0924\\u093e \\u0915\\u0947 \\u0928\\u0936\\u0947\\u2026'
